Customer_ID,LOB_Code,Product_Name,Customer_Type,Age,Annual_Income,Missed_Payments,Delinquent_Days,PenaltyFee_Amount,Probability_of_Default,DTI,OnTime_Payments,Bullet_Flag,Inactive_Flag,Total_Reachouts,Successful_Reachouts,Last_Campaign,Risk_Rating,Primary_Credit_Score,Total_Credit_Accounts
826371544607,C,Equipment Finance,C,44,90662,3,37,28.146700918338034,0,0.15596112086306718,1,1,0,17,15,Financial More Hassle-Free,3,425.9844734002397,6
220710698986,C,Personal Loan,C,38,90711,2,3,12.713596634967221,0,0.2788050987099149,1,0,1,10,7,Retirement Banking For a Better Tomorrow,6,797.6971821176526,8
522810277699,C,Real Estate,C,66,46646,8,66,40.916238429429356,0,0.14004593327143736,1,1,0,4,12,Small Business Lending For a Better Tomorrow,8,798.3975306943869,8
208029383568,R,Car Loan,R,21,50597,0,54,35.611885920415716,0,0.32972565876509996,1,1,1,24,9,Small Business Loan For a Better Tomorrow,9,797.8073009019861,5
580036567506,C,Home Improvement,C,53,97711,9,65,31.956454531559046,0,0.2872033385358709,1,1,0,27,3,Investing Loan Bonanza,7,791.9089471668557,7
276734886684,C,Line of Credit,C,18,50985,14,31,32.313407259051466,0,0.19904709720639693,0,1,0,21,5,Small Business More Bonanza,5,796.6476091830478,9
855637257658,C,Equipment Finance,C,53,96268,13,42,12.15847232139331,0,0.28210874991657175,0,1,0,23,12,Small Business Lending Bonanza,1,679.3300365051214,3
250026826017,C,Equipment Finance,C,69,47604,3,27,36.82445469037167,0,0.24151955396896393,1,1,1,16,10,Investing Rewards Hassle-Free,8,761.5151921007433,7
289859081550,C,Mortgage,C,41,89807,6,10,42.48067863213287,0,0.09027372391672389,0,1,1,22,15,Small Business Loan Bonanza,1,842.4088100578559,9
348109253440,C,Line of credit,C,40,89502,5,88,39.85543660958407,0,0.19812957540870402,0,0,0,14,16,Green Less Made Easy,2,470.0618653202269,3
135937271651,C,Equipment Finance,C,51,97166,5,23,34.497776054061795,0,0.09192162785753022,0,0,1,24,9,Investing Rewards Hassle-Free,1,734.7863290657858,3
566229236566,C,Equipment Finance,C,55,75588,8,35,31.155848966204747,0,0.24464038012591077,0,0,0,8,5,Investing Challenge Bonanza,2,659.6451589653465,5
730657215859,C,Personal Loan,C,37,89138,6,44,10.66514037303305,0,0.2658895573614527,0,1,1,19,7,Credit Rewards Hassle-Free,7,555.9609941607148,5
144260014247,R,Personal Loan,R,31,73680,8,39,49.49297727187933,0,0.15452110403617433,0,1,1,26,12,Mobile Lending Hassle-Free,5,826.4500565257807,9
798993734676,C,Equipment Finance,C,65,47482,6,21,7.189591808944528,0,0.21115069332978098,0,0,0,11,10,Credit Fitness Bonanza,8,622.4445769350808,6
650763046448,R,Car Loan,R,23,51380,6,19,37.67544939597961,0,0.23483292226132305,1,0,0,10,7,Investing Challenge 101,4,899.2637451350216,6
996009684864,C,Line of credit,C,47,97020,0,63,30.019501915944666,0,0.248235105272253,0,1,0,15,7,Savings Investment Hassle-Free,9,759.2996391589359,5
196310212116,C,Line of credit,C,46,95680,13,87,9.908327263758704,0,0.18232065679928902,1,0,0,11,8,Financial More Made Easy,3,704.3230623015301,7
571054977257,R,Personal Loan,R,26,73808,8,55,51.11533692090233,0,0.22325395197217957,0,0,1,23,8,Green Rewards 101,5,654.3042753281034,2
762527675326,R,Real Estate,R,33,73325,10,68,23.549623315422892,0,0.1882883235202385,0,0,0,35,7,Mobile Planning Made Easy,7,516.1950143906265,3
167412856247,R,Line of credit,R,40,90104,3,62,20.31640941355776,0,0.2769552322051212,1,0,0,23,8,Credit Relief 101,2,466.23258532464604,2
853767425783,C,Line of Credit,C,28,73778,15,53,39.619729099511844,0,0.14035269219192348,0,1,0,27,10,Retirement Challenge Bonanza,5,792.2637523278879,2
783375665549,C,Car Loan,C,22,51134,9,61,35.302984617778925,0,0.30454326753992916,0,0,0,19,13,Savings Lending Hassle-Free,5,804.8835153390623,4
358643712242,C,Real Estate,C,63,75846,1,48,12.57224040828077,0,0.11150011234711354,0,0,1,26,10,Green Rewards For a Better Tomorrow,6,646.2675777911041,2
990861340926,R,Line of Credit,R,18,50950,10,75,24.968020539196033,0,0.18454033076140994,0,0,1,21,9,Financial More For a Better Tomorrow,7,758.6899525200423,3
330688746380,R,Car Loan,R,28,74387,0,76,51.914012911565194,0,0.11538064861655939,1,1,0,11,10,Savings Investment For a Better Tomorrow,8,560.1047022516484,1
345072046769,R,Equipment Finance,R,40,90242,3,85,33.31121254260488,0,0.38261254035109404,0,1,1,22,9,Financial Fitness 101,1,493.73413588324445,2
291400716592,R,Equipment Finance,R,44,90322,15,64,42.666428081551736,1,0.3811535033705953,0,0,0,16,8,Retirement Challenge Hassle-Free,4,845.4252418260412,7
157860207039,R,Home Improvement,R,69,47609,6,10,31.744464877549063,0,0.3948072164586033,1,1,1,10,11,Retirement Challenge Bonanza,2,622.7786861600581,8
478917195458,C,Real Estate,C,53,96160,3,0,34.300706218337446,0,0.17294783295650332,0,1,0,18,8,Student Challenge 101,9,745.3962695622965,9
999781432935,C,Car Loan,C,25,73251,7,34,32.343261704356365,0,0.1612801858922019,0,1,0,18,9,Retirement Fitness 101,4,733.8459563316958,3
735436554119,C,Personal Loan,C,33,73817,14,18,31.360907034055728,0,0.25173449951733035,0,0,0,8,11,Savings Fitness For a Better Tomorrow,1,614.3305038171184,7
346626610596,R,Real Estate,R,63,73668,5,57,11.491273122089257,0,0.41740382046789104,1,1,0,10,10,Green Rewards Made Easy,1,988.1700712767058,3
417654726156,R,Home Improvement,R,58,75528,15,29,21.676987930810256,0,0.24147067357889646,1,0,1,21,12,Mobile Loan For a Better Tomorrow,7,678.7263711426041,6
502024641834,R,Home Improvement,R,51,97454,0,12,13.658146927379105,0,0.24504458416360056,0,0,0,24,11,Investing Loan Hassle-Free,8,779.4449749590154,5
784960596880,C,Mortgage,C,46,96305,4,85,10.392473308762941,0,0.28954603818896185,1,1,0,23,11,Retirement Challenge Made Easy,8,795.1898532894536,2
797601286326,R,Personal Loan,R,18,50703,12,61,24.094968041929977,0,0.3359841203847568,1,1,0,19,10,Student Lending 101,2,663.1770004456679,7
866459345886,R,Real Estate,R,46,95579,15,70,36.986948336769586,1,0.2832835665458346,0,1,0,21,11,Student Relief For a Better Tomorrow,6,510.25015178898764,5
245425698079,R,Real Estate,R,38,89257,0,46,33.98262843570383,0,0.23095734863959647,1,1,1,26,12,Green Fitness Hassle-Free,9,681.765488296903,2
240014158625,R,Real Estate,R,38,89456,6,81,38.818926526823034,0,0.2444512238046736,0,1,1,14,8,Retirement More 101,3,639.2567440672315,4
166558225449,R,Home Improvement,R,61,75210,5,67,36.606332533221014,0,0.35861095062348214,1,1,1,24,13,Financial Rewards Hassle-Free,8,539.4344623180224,5
980018336473,C,Car Loan,C,26,74336,10,76,40.393606997767705,0,0.21651617735511505,0,0,1,5,9,Investing Investment 101,5,825.0446480984855,8
618490886213,C,Real Estate,C,47,95696,3,61,34.60230636257228,0,0.21464250314426564,1,1,0,19,6,Savings Relief For a Better Tomorrow,6,555.4867514699897,4
280141725992,R,Car Loan,R,18,51950,2,66,18.269507737185517,0,0.1965857519039408,0,0,1,14,12,Savings Planning For a Better Tomorrow,8,716.1162702844848,9
317430692127,R,Real Estate,R,54,95584,2,61,25.339927321121106,0,0.3082545626735743,0,0,0,20,4,Financial Less Bonanza,4,674.2834935716404,6
820528267101,R,Home Improvement,R,57,75012,12,74,46.22566189248542,0,0.25197085082724147,0,0,1,31,5,Financial Banking Made Easy,5,664.2279785175929,9
429375516123,R,Real Estate,R,36,90277,8,8,9.752982402656283,0,0.23707317041408169,1,1,0,28,2,Student Challenge 101,6,549.4447960606835,9
233591789839,R,Home Improvement,R,66,46210,14,64,45.250109132472645,0,0.17352798265432015,1,1,1,2,8,Investing Challenge Made Easy,3,878.4697997884714,9
309409713420,C,Real Estate,C,33,74355,1,64,35.718759616905324,0,0.1806357558350839,0,1,1,18,10,Small Business Fitness Bonanza,7,447.5917993922049,2
925060938401,R,Car Loan,R,29,74064,14,4,3.7888739033442764,0,0.20932529030125485,1,1,1,20,9,Mobile Less For a Better Tomorrow,5,604.2238753376142,5
806391820089,C,Home Improvement,C,52,96854,2,65,31.13188122959394,0,0.26396313132858695,1,0,1,15,8,Retirement More Bonanza,1,835.0944229487175,9
282801100517,R,Mortgage,R,42,89760,13,79,10.423959075404428,0,0.19056116982208818,0,0,0,18,11,Retirement Fitness Bonanza,1,791.9671040433046,8
633261657355,C,Personal Loan,C,24,51405,9,73,13.327728385388896,0,0.1805350985757047,0,1,0,14,10,Investing Relief For a Better Tomorrow,9,709.0977195405211,7
886689924356,C,Line of Credit,C,24,51356,15,73,15.684399305826858,0,0.256388635958737,0,0,1,17,9,Credit Lending Bonanza,1,722.2351772841633,3
652391088460,C,Line of Credit,C,22,50052,8,2,17.897313391567803,0,0.11426803778360467,1,0,1,7,9,Financial Investment For a Better Tomorrow,4,882.738185774174,8
408265359139,R,Line of Credit,R,26,74806,5,56,45.408446705493304,0,0.334153403960554,1,1,1,14,7,Investing Lending For a Better Tomorrow,4,595.3671166539151,9
558221192951,R,Real Estate,R,65,46070,9,11,39.505656634359724,0,0.34255087437129533,0,1,1,7,10,Investing Loan Made Easy,9,604.9169585106689,4
812488953361,R,Car Loan,R,18,50277,6,6,46.71887944419698,0,0.31569877842554667,0,1,1,8,9,Student More Made Easy,5,796.7877295667156,3
296162350699,R,Car Loan,R,28,73839,10,29,10.084005117962484,0,0.33278390045425205,1,0,1,22,8,Green Less Hassle-Free,2,626.8635872787996,3
213219244818,R,Real Estate,R,44,89800,0,48,40.9491631867528,0,0.13791322320122845,0,1,0,27,6,Credit Banking 101,7,404.61316221562583,5
810449923013,R,Equipment Finance,R,41,89908,4,63,39.89695309280238,0,0.24362652268419288,1,0,1,31,7,Savings Lending Hassle-Free,3,652.258145886361,6
129523901226,C,Car Loan,C,21,50149,13,69,41.284822538699416,0,0.2760884949293834,1,1,0,12,12,Green Less For a Better Tomorrow,8,573.9088024470542,4
930643969811,C,Real Estate,C,63,74757,4,30,23.540464517584667,0,0.2041442449396204,1,1,0,22,8,Retirement Loan Made Easy,9,623.1006501779282,6
108755201312,C,Home Improvement,C,50,97884,14,10,30.26510036591479,0,0.10455380091107572,1,0,1,7,12,Retirement Investment For a Better Tomorrow,9,884.4594929795959,9
915229597003,C,Car Loan,C,20,51877,8,70,31.520618349648814,0,0.28838062177589024,1,1,1,31,9,Small Business Relief 101,7,441.47580159515394,5
937500080938,C,Home Improvement,C,35,90623,6,20,15.822085549408222,0,0.3231801350063627,1,1,1,10,10,Credit Loan 101,7,593.0060962018442,4
394599778456,R,Line of Credit,R,21,50603,1,27,28.22154830736274,0,0.17282830821955325,0,0,1,18,11,Student More Hassle-Free,8,693.3649182972069,9
120328016957,C,Real Estate,C,35,89988,5,49,42.90480496563804,0,0.27544917722307904,0,1,0,34,10,Credit Loan 101,7,738.8982491344289,7
402518753779,R,Equipment Finance,R,57,73239,9,1,32.53770566703957,0,0.2302394825956782,1,0,0,17,16,Financial Investment 101,9,654.4816026406475,5
459957261296,R,Home Improvement,R,56,74466,15,4,17.547147007550755,0,0.17002832782120192,0,1,1,31,8,Investing Less 101,1,876.1869716198582,6
916454884023,R,Real Estate,R,66,47836,13,42,20.24430150817757,0,0.27290352792376066,0,1,1,17,11,Retirement Relief For a Better Tomorrow,3,550.8016573030001,2
740159953656,C,Personal Loan,C,20,50711,6,23,20.4342078803771,0,0.26782595834477185,1,0,0,15,12,Student Lending 101,1,682.952889891456,1
958208911718,R,Real Estate,R,45,97844,5,87,16.224125278184683,0,0.3029316875673437,1,1,1,18,12,Credit Less Hassle-Free,5,800.9729400464827,8
929345905452,C,Real Estate,C,48,95384,14,51,45.673338403854636,1,0.3928237458068643,1,0,0,18,11,Investing Less For a Better Tomorrow,9,474.7151839272967,3
840882282543,C,Real Estate,C,37,90427,1,15,29.887577061857336,0,0.27695604359674536,1,0,0,33,9,Student Less Made Easy,8,659.5085966923496,1
210675991847,C,Home Improvement,C,55,74628,15,11,20.689966080283945,0,0.28075478686370114,0,0,1,21,8,Credit Fitness 101,5,674.8349177371331,1
289520145929,R,Line of Credit,R,20,50777,7,32,15.579003504536658,0,0.34440371121944724,1,0,1,26,6,Green Lending 101,1,897.5122977697913,6
676169846869,C,Line of credit,C,43,90775,12,27,45.716405879676266,0,0.17179531984185423,0,0,1,18,10,Mobile Rewards Bonanza,7,688.1714171026061,4
327078992050,R,Real Estate,R,41,89063,7,42,44.70290619694808,0,0.2681062522486308,0,1,0,21,6,Retirement Challenge 101,3,616.1721544435726,2
559047621813,C,Real Estate,C,63,75552,2,79,34.55082498885214,0,0.2424243859815226,0,1,1,7,8,Green Banking 101,9,595.0482533845824,2
458300688739,R,Equipment Finance,R,70,46224,0,63,37.3127000929369,0,0.203879570583598,0,1,1,7,15,Small Business Less Made Easy,8,589.9168755231904,7
796593784053,R,Personal Loan,R,31,73784,10,0,55.91614638861573,0,0.24934628803247003,0,1,0,16,9,Financial Loan Hassle-Free,7,515.924452437834,3
585901677290,C,Mortgage,C,46,96099,14,23,42.04796194060899,0,0.28462600626835605,0,1,1,21,8,Green Lending Hassle-Free,4,653.741333058978,2
684941711223,R,Personal Loan,R,23,51764,3,33,47.66663618798314,0,0.19773067403476996,0,0,1,19,10,Green More Hassle-Free,3,579.7953179814325,2
991310493182,R,Line of Credit,R,26,74818,11,88,21.72429578733449,0,0.2567669506587531,1,1,1,17,7,Financial Loan 101,5,688.2519224117488,6
571537609945,C,Equipment Finance,C,54,95018,7,13,6.072950234331676,0,0.236616055938421,1,0,1,21,13,Investing Relief 101,8,637.6874739003229,2
559254318937,R,Real Estate,R,53,95300,2,70,30.476679091435745,0,0.332136099224548,0,0,1,14,7,Retirement Relief Hassle-Free,6,736.0346928331609,2
266191716714,C,Real Estate,C,69,46011,12,0,15.21801405881073,0,0.2639824576364707,1,1,1,13,12,Student Fitness Bonanza,3,757.2259288597081,6
159987371856,R,Home Improvement,R,51,95292,13,87,21.279735896444468,1,0.3704230999850166,0,0,0,23,8,Retirement Less For a Better Tomorrow,3,850.6706562957582,8
800191278753,C,Home Improvement,C,37,90856,0,35,23.14529097257184,0,0.13870485179006334,1,0,0,20,10,Financial Banking Bonanza,2,852.126039561874,7
115232746270,R,Equipment Finance,R,66,46741,9,87,22.502850790717257,1,0.3902932083168295,0,1,1,32,16,Savings Investment Made Easy,6,517.7807256207628,8
500335585719,R,Home Improvement,R,52,97503,12,58,44.01194067933704,0,0.18998090412497512,1,1,0,32,6,Retirement Investment For a Better Tomorrow,4,750.0878608240207,3
635585195015,R,Personal Loan,R,34,74706,8,9,25.07008413815118,0,0.2878692466906177,0,1,1,25,9,Student Investment Made Easy,3,890.9327266021993,3
313453983541,R,Home Improvement,R,56,73186,7,53,12.976782911733897,0,0.22701644467537715,1,1,1,26,10,Savings Less 101,8,580.6863782828341,8
840908514171,C,Line of credit,C,47,97309,10,56,38.636483948904,0,0.17498285019837165,0,0,1,21,8,Savings Rewards Hassle-Free,6,683.8697082536482,6
668632846358,R,Home Improvement,R,58,75075,0,74,33.27485137896513,0,0.20517004928549906,0,0,1,3,9,Retirement Challenge For a Better Tomorrow,9,364.7337593230104,2
668208084006,C,Home Improvement,C,63,74335,0,78,47.996564598664904,0,0.24151779146261865,1,0,0,22,9,Savings Fitness For a Better Tomorrow,9,582.3408038860883,9
351313668366,R,Home Improvement,R,37,89652,3,80,27.720224879849606,0,0.2574504958849463,0,0,1,26,9,Financial Challenge For a Better Tomorrow,7,608.1050582589604,7
425900186826,C,Real Estate,C,56,75412,4,77,20.1320052656169,0,0.3408323442427775,1,1,0,9,9,Green Banking 101,2,559.7429147459351,2
321641282797,C,Car Loan,C,22,50314,0,80,32.41255429961331,0,0.4313459145386383,0,0,0,16,7,Savings Less Bonanza,8,781.4909736069941,5
462318965661,R,Line of Credit,R,23,50851,6,88,44.523827090105186,0,0.26557466369262717,0,1,1,7,8,Credit Less Hassle-Free,3,639.1550811384081,5
169760472563,R,Real Estate,R,54,95924,15,50,38.021451173960926,0,0.1563274377961976,1,0,0,24,9,Retirement Relief 101,6,595.4915549818916,8
970604110665,C,Real Estate,C,35,90139,4,6,34.91131259900706,0,0.2876641986055154,0,0,1,23,10,Investing Challenge Made Easy,9,802.3511205700718,7
559035276054,R,Home Improvement,R,50,96337,15,4,24.920199124248747,0,0.2065824378091724,1,0,0,19,13,Financial Less Bonanza,4,526.2640282566775,1
361377584538,R,Home Improvement,R,58,74621,12,79,53.866360040708734,0,0.2605606229152313,0,1,1,28,12,Financial Fitness Hassle-Free,6,640.6050580524418,4
281919424859,C,Equipment Finance,C,45,95477,6,2,10.457831732602886,0,0.31667109415213984,1,1,0,22,10,Small Business Less Hassle-Free,2,817.3087874332449,9
851487102691,R,Line of credit,R,47,97279,9,90,35.614928454102376,0,0.13343941966773262,0,0,1,20,7,Student Loan Hassle-Free,7,488.3579106182876,1
131956645922,C,Real Estate,C,41,89482,12,41,41.888214306842706,0,0.14363643860981562,1,1,1,23,10,Financial Less Made Easy,3,546.9256868783527,6
806112590554,C,Personal Loan,C,20,51963,10,73,24.381872792442095,1,0.3488732800947431,1,1,1,25,8,Student Loan 101,1,475.97472566345425,9
290522767829,C,Personal Loan,C,35,89030,5,2,18.356470140609446,0,0.23112082564122716,1,1,0,25,11,Retirement Lending For a Better Tomorrow,4,602.6935980341877,8
543160051584,R,Real Estate,R,35,89810,14,50,32.72049444338271,1,0.4123640144330504,1,1,0,27,9,Investing Relief Hassle-Free,2,721.1303678243622,2
552755702498,R,Equipment Finance,R,55,74592,15,44,38.375922433308155,0,0.18646191779777593,0,0,1,29,7,Student Investment Made Easy,3,545.3624383206,4
588261225198,R,Home Improvement,R,58,74802,11,87,37.264733172142115,0,0.1956962306131824,0,1,0,13,11,Green Challenge Made Easy,3,656.440746848143,1
290758003894,C,Personal Loan,C,22,51118,15,67,32.67847918075904,1,0.2707376046910237,1,0,0,20,6,Student Fitness Made Easy,1,592.8660135370369,7
811055306106,R,Equipment Finance,R,56,73764,4,64,35.71288260712321,0,0.14225001087956568,0,0,0,17,12,Savings Less Made Easy,7,948.6112898521553,4
909921683373,C,Personal Loan,C,38,90161,5,19,46.80546897294918,0,0.32453582129732406,0,1,1,19,7,Investing Less Made Easy,5,660.821815136567,3
468081211689,R,Personal Loan,R,30,74679,4,15,6.116988222500797,0,0.26701708729211343,1,0,1,-1,13,Small Business Fitness Hassle-Free,1,520.1306838770552,6
340572304920,R,Home Improvement,R,54,95387,13,45,13.837902703600877,0,0.1506470707645424,0,1,0,21,11,Financial Less Hassle-Free,6,780.571016732389,8
320326284402,C,Line of credit,C,43,90898,10,41,24.213481920453575,0,0.3374616328098357,0,0,1,7,14,Savings Rewards Hassle-Free,9,593.656701361639,5
990387820054,C,Equipment Finance,C,60,75660,8,63,7.1093266805941395,0,0.27494664594913987,1,1,0,7,9,Student Loan 101,3,919.2479927990847,2
459456395220,C,Real Estate,C,67,47240,2,57,20.698893138448966,0,0.3135039239428086,0,0,1,27,11,Investing Rewards Hassle-Free,1,695.417649980066,4
496805003931,R,Equipment Finance,R,54,97323,15,90,28.185143526027932,1,0.26580161911786804,1,0,0,26,6,Student Challenge 101,1,881.2989451343092,8
406347722329,C,Mortgage,C,41,90504,3,22,22.335423002263088,0,0.3378610077241342,1,0,1,19,11,Credit Challenge Bonanza,9,634.7454907605375,9
256429304463,C,Real Estate,C,45,95256,14,35,30.302379780610657,0,0.14027207256774432,0,0,0,18,9,Green Challenge Made Easy,7,696.1444447231386,7
279439269072,R,Line of Credit,R,19,50470,9,26,39.07585895776553,0,0.2019757804246442,1,1,1,17,5,Retirement Less Bonanza,2,586.0057075388464,6
908413211469,C,Car Loan,C,22,51721,13,20,26.352054853755945,0,0.15145480186172644,1,0,1,16,14,Green Lending For a Better Tomorrow,8,507.549950071438,4
459976673209,C,Real Estate,C,36,90542,2,88,38.69878337857504,0,0.16160104874694622,0,0,1,27,6,Investing Fitness 101,3,720.6381636810919,2
942591006479,C,Mortgage,C,48,95144,4,46,28.1114805018574,0,0.22330213024846346,0,0,0,35,9,Mobile Rewards Bonanza,5,777.6584131406664,1
147064276333,R,Equipment Finance,R,68,46533,7,29,29.184717860910688,0,0.10958807592993677,1,0,0,8,10,Credit Loan Made Easy,7,770.5071373368233,4
720199245080,R,Equipment Finance,R,68,46418,11,2,46.21388144835233,0,0.3208290405006996,0,0,0,20,6,Student More Bonanza,6,614.8762881136228,1
558457063698,C,Personal Loan,C,23,50735,14,2,11.847950289499018,0,0.34535928024318435,0,0,1,7,10,Mobile Lending 101,3,579.2641458725561,6
150248348135,R,Real Estate,R,35,89877,12,84,31.908682290470985,0,0.22454415840933784,0,0,0,16,10,Savings Investment Hassle-Free,6,841.0266603625212,1
789140804364,C,Home Improvement,C,38,89829,8,47,24.546042371827845,0,0.2583520971360343,1,0,0,3,12,Savings Planning 101,2,733.3997095790517,6
731595374506,R,Personal Loan,R,39,90881,3,86,37.83541929329103,0,0.3705442523559206,0,0,1,20,13,Investing More 101,1,819.0693037439942,8
220632208824,R,Equipment Finance,R,40,90212,11,75,26.93688321328358,0,0.12477110222773116,0,1,1,14,8,Investing Less Hassle-Free,9,802.6046967781613,6
207373270182,C,Real Estate,C,54,95150,6,37,45.63596796108524,0,0.2804842821673115,1,0,0,20,9,Small Business Investment For a Better Tomorrow,7,507.0712396452941,3
876490881066,C,Home Improvement,C,68,46284,12,5,29.113633127511992,0,0.3477806645887444,0,1,0,30,9,Financial Investment For a Better Tomorrow,4,667.997453426759,6
898913489796,C,Home Improvement,C,62,74355,10,58,40.994658126844065,0,0.2536104606125298,1,1,1,30,12,Green Fitness 101,7,724.7594319818332,5
181429944980,C,Home Improvement,C,30,73505,10,56,36.89655469410553,0,0.172618495489146,0,1,1,35,8,Credit Lending For a Better Tomorrow,7,445.2820050145968,4
718217749811,R,Equipment Finance,R,48,96873,6,26,31.079449404985247,0,0.36519088990155346,1,1,1,32,8,Credit Less For a Better Tomorrow,4,751.770686013576,1
